00001: C:\CFH\archive | Created: 5/5/2025 7:57:15 PM | Modified: 6/23/2025 5:07:32 PM
00002: C:\CFH\backend | Created: 4/17/2025 1:24:13 PM | Modified: 6/25/2025 1:23:19 PM
00003: C:\CFH\CFH Files Synced | Created: 5/23/2025 5:11:56 PM | Modified: 5/23/2025 5:11:57 PM
00004: C:\CFH\CFH_Analytics | Created: 6/11/2025 6:23:58 PM | Modified: 6/12/2025 9:21:55 PM
00005: C:\CFH\Cod1Logs | Created: 6/21/2025 6:49:58 PM | Modified: 6/25/2025 2:48:07 PM
00006: C:\CFH\Cod1PromptOutput | Created: 6/21/2025 6:49:58 PM | Modified: 6/23/2025 10:28:26 PM
00007: C:\CFH\docs | Created: 4/19/2025 10:28:07 PM | Modified: 6/20/2025 7:19:12 PM
00008: C:\CFH\EvalLogs | Created: 6/21/2025 11:49:42 PM | Modified: 6/22/2025 6:19:34 PM
00009: C:\CFH\EvaluatedFiles | Created: 6/22/2025 12:30:23 PM | Modified: 6/22/2025 5:55:10 PM
00010: C:\CFH\frontend | Created: 4/17/2025 1:24:13 PM | Modified: 6/23/2025 9:18:56 PM
00011: C:\CFH\GenLogs | Created: 6/21/2025 11:49:00 PM | Modified: 6/22/2025 6:08:33 PM
00012: C:\CFH\junk from cfh | Created: 5/28/2025 11:31:34 PM | Modified: 5/28/2025 11:31:50 PM
00013: C:\CFH\logs | Created: 6/20/2025 10:05:11 PM | Modified: 6/24/2025 11:00:10 AM
00014: C:\CFH\public | Created: 5/24/2025 11:33:11 PM | Modified: 5/24/2025 11:34:04 PM
00015: C:\CFH\scripts | Created: 5/9/2025 1:06:59 AM | Modified: 5/27/2025 10:32:35 PM
00016: C:\CFH\test | Created: 5/18/2025 10:56:25 AM | Modified: 5/27/2025 10:32:35 PM
00017: C:\CFH\WPromptOutput | Created: 6/21/2025 4:08:33 PM | Modified: 6/21/2025 7:31:43 PM
00018: C:\CFH\archive\admin | Created: 5/25/2025 7:19:03 PM | Modified: 5/25/2025 7:19:03 PM
00019: C:\CFH\archive\arbitration | Created: 5/25/2025 7:30:29 PM | Modified: 5/27/2025 11:48:41 PM
00020: C:\CFH\archive\compliance | Created: 5/25/2025 7:30:29 PM | Modified: 5/27/2025 11:48:42 PM
00021: C:\CFH\archive\disputes | Created: 5/25/2025 7:30:29 PM | Modified: 5/27/2025 11:48:49 PM
00022: C:\CFH\archive\logs | Created: 5/28/2025 12:13:57 AM | Modified: 5/28/2025 12:49:08 AM
00023: C:\CFH\archive\needsHome | Created: 5/25/2025 4:36:23 PM | Modified: 5/25/2025 7:00:47 PM
00024: C:\CFH\archive\old_inspection | Created: 6/17/2025 10:11:53 AM | Modified: 6/17/2025 10:12:09 AM
00025: C:\CFH\archive\old_marketplace_insights | Created: 6/3/2025 11:07:23 PM | Modified: 6/3/2025 11:07:24 PM
00026: C:\CFH\archive\old_versions | Created: 5/27/2025 10:37:48 PM | Modified: 5/27/2025 11:50:19 PM
00027: C:\CFH\archive\redundant | Created: 5/27/2025 10:37:22 PM | Modified: 5/28/2025 1:43:08 AM
00028: C:\CFH\archive\temporary | Created: 5/27/2025 11:43:35 PM | Modified: 5/27/2025 11:43:36 PM
00029: C:\CFH\archive\admin\arbitration | Created: 5/25/2025 7:19:03 PM | Modified: 5/25/2025 7:19:03 PM
00030: C:\CFH\archive\redundant\frontend | Created: 5/28/2025 1:43:08 AM | Modified: 5/28/2025 1:43:08 AM
00031: C:\CFH\archive\redundant\frontend\src | Created: 5/28/2025 1:43:08 AM | Modified: 5/28/2025 1:43:08 AM
00032: C:\CFH\archive\redundant\frontend\src\components | Created: 5/28/2025 1:43:08 AM | Modified: 5/28/2025 1:43:08 AM
00033: C:\CFH\archive\redundant\frontend\src\components\common | Created: 5/28/2025 1:43:08 AM | Modified: 5/28/2025 1:43:08 AM
00034: C:\CFH\backend\ai | Created: 5/6/2025 9:33:12 AM | Modified: 5/6/2025 9:33:27 AM
