
MarkdownFile                           ReferencedFile                                                       ExistsInCFH
------------                           --------------                                                       -----------
AnalyticsDashboardFeatureList.md       AnalyticsDashboard.js                                                No         
AnalyticsDashboardFeatureList.md       analyticsRoutes.js                                                   No         
AnalyticsDashboardFeatureList.md       cfh\backend\routes\analytics\analyticsRoutes.js                      No         
AnalyticsDashboardFeatureList.md       CFH\frontend\src\components\analytics\AnalyticsDashboard.js          No         
AnalyticsQualityCheckReport.md         analytics.routes.ts                                                  No         
AnalyticsQualityCheckReport.md         analytics.routing.ts                                                 No         
AnalyticsQualityCheckReport.md         analytics.service.test.ts                                            No         
AnalyticsQualityCheckReport.md         analytics.service.ts                                                 No         
AnalyticsQualityCheckReport.md         analyticsApi.ts                                                      No         
AnalyticsQualityCheckReport.md         AnalyticsDashboard.ts                                                No         
AnalyticsQualityCheckReport.md         AnalyticsDashboard.tsx                                               No         
AnalyticsQualityCheckReport.md         CFH\backend\routes\analytics\analytics.routes.ts                     No         
AnalyticsQualityCheckReport.md         CFH\backend\services\analytics\analytics.service.ts                  No         
AnalyticsQualityCheckReport.md         CFH\backend\tests\analytics\analytics.service.test.ts                No         
AnalyticsQualityCheckReport.md         CFH\backend\validation\analytics.validation.ts                       No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\AnalyticsDashboard.ts          No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\AnalyticsDashboard.tsx         No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\ChartWidget.ts                 No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\ChartWidget.tsx                No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\DataTable.ts                   No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\DataTable.tsx                  No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\FilterPanel.ts                 No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\components\analytics\FilterPanel.tsx                No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\services\analyticsApi.ts                            No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\tests\analytics\AnalyticsDashboard.test.ts          No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\tests\analytics\AnalyticsDashboard.test.tsx         No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\tests\analytics\ChartWidget.test.ts                 No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\tests\analytics\ChartWidget.test.tsx                No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\tests\analytics\FilterPanel.test.ts                 No         
AnalyticsQualityCheckReport.md         CFH\frontend\src\tests\analytics\FilterPanel.test.tsx                No         
AnalyticsQualityCheckReport.md         ChartWidget.ts                                                       No         
AnalyticsQualityCheckReport.md         ChartWidget.tsx                                                      No         
AnalyticsQualityCheckReport.md         DataTable.ts                                                         No         
AnalyticsQualityCheckReport.md         DataTable.tsx                                                        No         
AnalyticsQualityCheckReport.md         FilterPanel.ts                                                       No         
AnalyticsQualityCheckReport.md         FilterPanel.tsx                                                      No         
AuctionManagementFeatureList.md        AuctionManagement.js                                                 No         
AuctionManagementFeatureList.md        auctionManagementRoutes.js                                           No         
AuctionManagementFeatureList.md        cfh\backend\routes\auction\auctionManagementRoutes.js                No         
AuctionManagementFeatureList.md        CFH\frontend\src\components\auction\AuctionManagement.js             No         
AuctionsFeatureList.md                 AuctionItemListing.js                                                No         
AuctionsFeatureList.md                 auctionRoutes.js                                                     No         
AuctionsFeatureList.md                 cfh\backend\routes\auctions\auctionRoutes.js                         No         
